t,G,C1,C1_next,C2,C2_next,f_e,x1,f_c,x2,L_out,L_target,shed
0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,9.0,9.0,0.0
0.25,10.652630961100257,0.0,0.0759182954749279,0.0,0.07749992663065557,10.0,0.6526309611002574,0.31632623114553293,0.0,9.0,9.0,0.0
0.5,11.294095225512603,0.0759182954749279,0.22726285801196927,0.07749992663065557,0.23038291908241332,10.0,1.2940952255126028,0.6240122140888071,0.0,9.0,9.0,0.0
0.75,11.91341716182545,0.22726285801196927,0.45143590595413585,0.23038291908241332,0.4560411765139635,10.0,1.9134171618254499,0.9210541119655109,0.0,9.0,9.0,0.0
1.0,12.5,0.45143590595413585,0.7446018603213949,0.4560411765139635,0.7506135412340497,10.0,2.5,1.202336182530964,0.0,9.0,9.0,0.0
1.25,13.043807145043603,0.7446018603213949,1.101744569496189,0.7506135412340497,1.10905979925165,10.0,3.043807145043603,1.4630459510922462,0.0,9.0,9.0,0.0
1.5,13.535533905932738,1.101744569496189,1.51675322271462,1.10905979925165,1.5252468357034321,10.0,3.5355339059327378,1.698722597762376,0.0,9.0,9.0,0.0
1.75,13.966766701456176,1.51675322271462,1.9825269068578955,1.5252468357034321,1.9920535750069472,10.0,3.9667667014561765,1.9053336298102659,0.0,9.0,9.0,0.0
2.0,14.330127018922193,1.9825269068578955,2.4910961050534626,1.9920535750069472,2.5014928244294317,10.0,4.330127018922193,2.079343875193814,0.0,9.0,9.0,0.0
2.25,14.619397662556434,2.4910961050534626,3.0337590573181754,2.5014928244294317,3.0448479371700232,10.0,4.619397662556434,2.2177759703697615,0.0,9.0,9.0,0.0
2.5,14.82962913144534,3.0337590573181754,3.601230650084188,3.0448479371700232,3.612821956603234,10.0,4.829629131445341,2.318261303809023,0.0,9.0,9.0,0.0
2.75,14.957224306869051,3.601230650084188,4.183801287066427,3.612821956603234,4.195696689784411,10.0,4.957224306869051,2.3790805435966407,0.0,9.0,9.0,0.0
3.0,15.0,4.183801287066427,4.771503023147031,4.195696689784411,4.7834989884254195,10.0,5.0,2.399193055677587,0.0,9.0,9.0,0.0
3.25,14.957224306869053,4.771503023147031,5.354280118679955,4.7834989884254195,5.366171392226926,10.0,4.957224306869053,2.378254709393904,0.0,9.0,9.0,0.0
3.5,14.82962913144534,5.354280118679955,5.922161095984297,5.366171392226926,5.933744214812574,10.0,4.829629131445341,2.3166237656557054,0.0,9.0,9.0,0.0
3.75,14.619397662556434,5.922161095984297,6.465429354092024,5.933744214812574,6.476506127827012,10.0,4.619397662556434,2.2153547469977055,0.0,9.0,9.0,0.0
4.0,14.330127018922195,6.465429354092024,6.974789422484497,6.476506127827012,6.985170324456528,10.0,4.3301270189221945,2.0761803944061907,0.0,9.0,9.0,0.0
4.25,13.966766701456176,6.974789422484497,7.441526009170231,6.985170324456528,7.451033419268433,10.0,3.9667667014561765,1.9014820196404274,0.0,9.0,9.0,0.0
4.5,13.535533905932738,7.441526009170231,7.857653121747204,7.451033419268433,7.866124365548845,10.0,3.5355339059327378,1.6942487603282104,0.0,9.0,9.0,0.0
4.75,13.043807145043605,7.857653121747204,8.216050709946991,7.866124365548845,8.223340842121953,10.0,3.043807145043605,1.4580264349922787,0.0,9.0,9.0,0.0
5.0,12.500000000000002,8.216050709946991,8.51058649166891,8.223340842121953,8.516570776034472,10.0,2.5000000000000018,1.1968568731123228,0.0,9.0,9.0,0.0
5.25,11.91341716182545,8.51058649166891,8.736220878026954,8.516570776034472,8.740796921818463,10.0,1.9134171618254499,0.9152087583020038,0.0,9.0,9.0,0.0
5.5,11.294095225512605,8.736220878026954,8.889093202112864,8.740796921818463,8.89218270795233,10.0,1.2940952255126046,0.6179011678933338,0.0,9.0,9.0,0.0
5.75,10.65263096110026,8.889093202112864,8.966587776077315,8.89218270795233,8.968137881663253,10.0,0.6526309611002592,0.3100211171874425,0.0,9.0,9.0,0.0
6.0,10.0,8.966587776077315,8.966587776077315,8.968137881663253,8.968137881663253,10.0,0.0,0.0,0.0,9.0,9.0,0.0
6.25,9.347369038899743,8.966587776077315,8.809653655675342,8.968137881663253,8.967362828870284,9.347369038899743,0.0,0.6277364816078931,0.6182819631476115,9.0,9.0,0.0
6.5,8.705904774487399,8.809653655675342,8.577366256671327,8.967362828870284,8.888508242272813,8.705904774487399,0.0,0.9291495960160602,1.2259849504856222,9.0,9.0,0.0
6.75,8.086582838174554,8.577366256671327,8.273685893352296,8.888508242272813,8.73293724947207,8.086582838174554,0.0,1.2147214532761277,1.8127109954135805,9.0,9.0,0.0
7.0,7.500000000000001,8.273685893352296,7.903808765701267,8.73293724947207,8.503311571412183,7.500000000000001,0.0,1.4795085106041168,2.3684210526315783,9.0,9.0,0.0
7.25,6.956192854956399,7.903808765701267,7.474063572444419,8.503311571412183,8.203560168556725,6.956192854956399,0.0,1.7189807730273903,2.8836067689886744,9.0,9.0,0.0
7.5,6.464466094067264,7.474063572444419,6.991803373001325,8.203560168556725,7.838811870500573,6.464466094067264,0.0,1.9290407977723756,3.349453174041539,9.0,9.0,0.0
7.75,6.033233298543825,6.991803373001325,6.4652797730920915,7.838811870500573,7.415307621750949,6.033233298543825,0.0,2.1060943996369352,3.757989506642692,9.0,9.0,0.0
8.0,5.669872981077808,6.4652797730920915,5.903501737491086,7.415307621750949,6.94029369742152,5.669872981077808,0.0,2.247112142404021,4.102225596873655,9.0,9.0,0.0
8.25,5.380602337443568,5.903501737491086,5.31608144414174,6.94029369742152,6.421897717456304,5.380602337443568,0.0,2.349681173397386,4.3762714697903045,9.0,9.0,0.0
8.5,5.170370868554659,5.31608144414174,4.713069817126934,6.421897717456304,5.868989580799022,5.170370868554659,0.0,2.412046508059224,4.575438124527166,9.0,9.0,0.0
8.75,5.042775693130949,4.713069817126934,4.104784552571301,5.868989580799022,5.291029698962978,5.042775693130949,0.0,2.433141058222533,4.6963177644022585,9.0,9.0,0.0
9.0,5.0,4.104784552571301,3.5016335799999223,5.291029698962978,4.69790712576714,5.0,0.0,2.412603890285515,4.736842105263158,9.0,9.0,0.0
9.25,5.042775693130947,3.5016335799999223,2.9139369797785384,4.69790712576714,4.099770352883531,5.042775693130947,0.0,2.350786400885536,4.696317764402261,9.0,9.0,0.0
9.5,5.170370868554658,2.9139369797785384,2.351750403677217,4.099770352883531,3.5068536663310343,5.170370868554658,0.0,2.2487463044052864,4.5754381245271665,9.0,9.0,0.0
9.75,5.380602337443565,2.351750403677217,1.824693019880617,3.5068536663310343,2.9293020350041257,5.380602337443565,0.0,2.1082295351863998,4.376271469790306,9.0,9.0,0.0
10.0,5.669872981077805,1.824693019880617,1.3417829263534125,2.9293020350041257,2.3769975274423714,5.669872981077805,0.0,1.931640374108818,4.102225596873659,9.0,9.0,0.0
10.25,6.033233298543822,1.3417829263534125,0.9112828486838265,2.3769975274423714,1.859390226897892,6.033233298543822,0.0,1.7220003106783437,3.7579895066426947,9.0,9.0,0.0
10.5,6.464466094067261,0.9112828486838265,0.5405587625579564,1.859390226897892,1.385336537790859,6.464466094067261,0.0,1.4828963445034804,3.349453174041542,9.0,9.0,0.0
10.75,6.956192854956395,0.5405587625579564,0.23595385987355,1.385336537790859,0.9629476501744078,6.956192854956395,0.0,1.2184196107376257,2.8836067689886784,9.0,9.0,0.0
11.0,7.499999999999998,0.23595385987355,0.0026800149679720164,0.9629476501744078,0.5994507550239789,7.499999999999998,0.0,0.9330953796223119,2.368421052631581,9.0,9.0,0.0
11.25,8.086582838174548,0.0026800149679720164,0.0,0.5994507550239789,0.14889942083919516,8.086582838174548,0.0,0.010720059871888066,1.8127109954135854,9.0,9.0,0.0
11.5,8.705904774487392,0.0,0.0,0.14889942083919516,0.0,8.705904774487392,0.0,0.0,0.5955976833567806,8.401132096227593,9.0,0.5988679037724065
11.75,9.347369038899737,0.0,0.0,0.0,0.0,9.347369038899737,0.0,0.0,0.0,8.412632135009764,9.0,0.5873678649902363
12.0,9.999999999999998,0.0,0.0,0.0,0.0,9.999999999999998,0.0,0.0,0.0,8.999999999999998,9.0,1.7763568394002505e-15
12.25,10.652630961100256,0.0,0.07591829547492769,0.0,0.07749992663065536,10.0,0.6526309611002556,0.3163262311455321,0.0,9.0,9.0,0.0
12.5,11.294095225512601,0.07591829547492769,0.22726285801196883,0.07749992663065536,0.23038291908241287,10.0,1.294095225512601,0.6240122140888062,0.0,9.0,9.0,0.0
12.75,11.913417161825446,0.22726285801196883,0.4514359059541351,0.23038291908241287,0.4560411765139626,10.0,1.9134171618254463,0.921054111965509,0.0,9.0,9.0,0.0
13.0,12.499999999999996,0.4514359059541351,0.7446018603213935,0.4560411765139626,0.7506135412340484,10.0,2.4999999999999964,1.2023361825309626,0.0,9.0,9.0,0.0
13.25,13.0438071450436,0.7446018603213935,1.1017445694961872,0.7506135412340484,1.1090597992516484,10.0,3.0438071450435995,1.463045951092245,0.0,9.0,9.0,0.0
13.5,13.535533905932734,1.1017445694961872,1.516753222714618,1.1090597992516484,1.52524683570343,10.0,3.535533905932734,1.6987225977623732,0.0,9.0,9.0,0.0
13.75,13.966766701456175,1.516753222714618,1.9825269068578932,1.52524683570343,1.9920535750069448,10.0,3.9667667014561747,1.905333629810265,0.0,9.0,9.0,0.0
14.0,14.330127018922191,1.9825269068578932,2.49109610505346,1.9920535750069448,2.5014928244294294,10.0,4.330127018922191,2.079343875193815,0.0,9.0,9.0,0.0
14.25,14.619397662556432,2.49109610505346,3.0337590573181723,2.5014928244294294,3.044847937170021,10.0,4.619397662556432,2.2177759703697615,0.0,9.0,9.0,0.0
14.5,14.82962913144534,3.0337590573181723,3.6012306500841853,3.044847937170021,3.612821956603231,10.0,4.829629131445341,2.318261303809021,0.0,9.0,9.0,0.0
14.75,14.957224306869051,3.6012306500841853,4.183801287066425,3.612821956603231,4.195696689784408,10.0,4.957224306869051,2.3790805435966407,0.0,9.0,9.0,0.0
15.0,15.0,4.183801287066425,4.771503023147029,4.195696689784408,4.783498988425416,10.0,5.0,2.3991930556775833,0.0,9.0,9.0,0.0
15.25,14.957224306869053,4.771503023147029,5.354280118679953,4.783498988425416,5.3661713922269225,10.0,4.957224306869053,2.378254709393904,0.0,9.0,9.0,0.0
15.5,14.829629131445342,5.354280118679953,5.9221610959842925,5.3661713922269225,5.933744214812573,10.0,4.829629131445342,2.316623765655716,0.0,9.0,9.0,0.0
15.75,14.619397662556437,5.9221610959842925,6.465429354092021,5.933744214812573,6.47650612782701,10.0,4.6193976625564375,2.215354746997702,0.0,9.0,9.0,0.0
16.0,14.330127018922195,6.465429354092021,6.974789422484494,6.47650612782701,6.985170324456527,10.0,4.3301270189221945,2.0761803944061907,0.0,9.0,9.0,0.0
16.25,13.966766701456176,6.974789422484494,7.441526009170229,6.985170324456527,7.451033419268431,10.0,3.9667667014561765,1.9014820196404274,0.0,9.0,9.0,0.0
16.5,13.535533905932741,7.441526009170229,7.857653121747202,7.451033419268431,7.866124365548843,10.0,3.5355339059327413,1.6942487603282104,0.0,9.0,9.0,0.0
16.75,13.043807145043605,7.857653121747202,8.21605070994699,7.866124365548843,8.22334084212195,10.0,3.043807145043605,1.4580264349922716,0.0,9.0,9.0,0.0
17.0,12.500000000000007,8.21605070994699,8.510586491668908,8.22334084212195,8.51657077603447,10.0,2.500000000000007,1.19685687311233,0.0,9.0,9.0,0.0
17.25,11.913417161825453,8.510586491668908,8.73622087802695,8.51657077603447,8.740796921818463,10.0,1.9134171618254534,0.915208758302011,0.0,9.0,9.0,0.0
17.5,11.294095225512613,8.73622087802695,8.889093202112862,8.740796921818463,8.89218270795233,10.0,1.2940952255126135,0.6179011678933338,0.0,9.0,9.0,0.0
17.75,10.652630961100263,8.889093202112862,8.966587776077317,8.89218270795233,8.968137881663251,10.0,0.6526309611002628,0.3100211171874353,0.0,9.0,9.0,0.0
18.0,10.000000000000002,8.966587776077317,8.966587776077317,8.968137881663251,8.968137881663251,10.0,1.7763568394002505e-15,0.0,0.0,9.0,9.0,0.0
18.25,9.34736903889975,8.966587776077317,8.809653655675342,8.968137881663251,8.967362828870284,9.34736903889975,0.0,0.6277364816078946,0.618281963147606,9.0,9.0,0.0
18.5,8.705904774487399,8.809653655675342,8.577366256671327,8.967362828870284,8.888508242272813,8.705904774487399,0.0,0.9291495960160602,1.2259849504856222,9.0,9.0,0.0
18.75,8.086582838174559,8.577366256671327,8.273685893352297,8.888508242272813,8.73293724947207,8.086582838174559,0.0,1.214721453276123,1.8127109954135758,9.0,9.0,0.0
19.0,7.5000000000000036,8.273685893352297,7.903808765701269,8.73293724947207,8.503311571412183,7.5000000000000036,0.0,1.4795085106041135,2.368421052631575,9.0,9.0,0.0
19.25,6.956192854956398,7.903808765701269,7.47406357244442,8.503311571412183,8.203560168556727,6.956192854956398,0.0,1.7189807730273985,2.8836067689886753,9.0,9.0,0.0
19.5,6.464466094067268,7.47406357244442,6.991803373001328,8.203560168556727,7.838811870500574,6.464466094067268,0.0,1.9290407977723694,3.3494531740415363,9.0,9.0,0.0
19.75,6.033233298543825,6.991803373001328,6.465279773092093,7.838811870500574,7.415307621750951,6.033233298543825,0.0,2.106094399636939,3.757989506642692,9.0,9.0,0.0
20.0,5.669872981077811,6.465279773092093,5.903501737491088,7.415307621750951,6.940293697421522,5.669872981077811,0.0,2.2471121424040192,4.102225596873653,9.0,9.0,0.0
20.25,5.380602337443568,5.903501737491088,5.316081444141742,6.940293697421522,6.421897717456305,5.380602337443568,0.0,2.349681173397386,4.3762714697903045,9.0,9.0,0.0
20.5,5.170370868554661,5.316081444141742,4.713069817126936,6.421897717456305,5.868989580799024,5.170370868554661,0.0,2.4120465080592215,4.575438124527163,9.0,9.0,0.0
20.75,5.042775693130949,4.713069817126936,4.104784552571303,5.868989580799024,5.29102969896298,5.042775693130949,0.0,2.433141058222533,4.6963177644022585,9.0,9.0,0.0
21.0,5.0,4.104784552571303,3.501633579999924,5.29102969896298,4.697907125767141,5.0,0.0,2.412603890285515,4.736842105263158,9.0,9.0,0.0
21.25,5.042775693130947,3.501633579999924,2.91393697977854,4.697907125767141,4.0997703528835325,5.042775693130947,0.0,2.350786400885536,4.696317764402261,9.0,9.0,0.0
21.5,5.170370868554658,2.91393697977854,2.3517504036772188,4.0997703528835325,3.506853666331036,5.170370868554658,0.0,2.2487463044052864,4.5754381245271665,9.0,9.0,0.0
21.75,5.3806023374435625,2.3517504036772188,1.8246930198806182,3.506853666331036,2.9293020350041274,5.3806023374435625,0.0,2.1082295351864024,4.376271469790309,9.0,9.0,0.0
22.0,5.669872981077805,1.8246930198806182,1.3417829263534142,2.9293020350041274,2.3769975274423727,5.669872981077805,0.0,1.9316403741088162,4.102225596873659,9.0,9.0,0.0
22.25,6.033233298543818,1.3417829263534142,0.911282848683827,2.3769975274423727,1.8593902268978935,6.033233298543818,0.0,1.7220003106783488,3.7579895066426987,9.0,9.0,0.0
22.5,6.464466094067258,0.911282848683827,0.5405587625579564,1.8593902268978935,1.3853365377908602,6.464466094067258,0.0,1.4828963445034822,3.3494531740415456,9.0,9.0,0.0
22.75,6.956192854956394,0.5405587625579564,0.2359538598735504,1.3853365377908602,0.9629476501744083,6.956192854956394,0.0,1.2184196107376242,2.8836067689886793,9.0,9.0,0.0
23.0,7.499999999999993,0.2359538598735504,0.002680014967971378,0.9629476501744083,0.5994507550239794,7.499999999999993,0.0,0.933095379622316,2.3684210526315854,9.0,9.0,0.0
23.25,8.086582838174547,0.002680014967971378,0.0,0.5994507550239794,0.14889942083919455,8.086582838174547,0.0,0.010720059871885512,1.8127109954135872,9.0,9.0,0.0
23.5,8.705904774487387,0.0,0.0,0.14889942083919455,0.0,8.705904774487387,0.0,0.0,0.5955976833567782,8.401132096227588,9.0,0.5988679037724118
23.75,9.347369038899735,0.0,0.0,0.0,0.0,9.347369038899735,0.0,0.0,0.0,8.412632135009762,9.0,0.5873678649902381
